fraction_of_full_entropy_deficit,DeltaS_nats,log10_wait_factor,log10log10_wait_factor,status
1e-12,3.1883530721780297e+110,1.3846841456061985e+110,110.14135071963571,illustrative ansatz; not an epsilon-recurrence calculation
1.258925411794166e-12,4.0138987043369206e+110,1.7432140582121366e+110,110.2413507196357,illustrative ansatz; not an epsilon-recurrence calculation
1.5848931924611108e-12,5.053199079257428e+110,2.1945764760800936e+110,110.34135071963571,illustrative ansatz; not an epsilon-recurrence calculation
1.9952623149688827e-12,6.361600731732085e+110,2.762808093862933e+110,110.44135071963571,illustrative ansatz; not an epsilon-recurrence calculation
2.5118864315095823e-12,8.008780820865885e+110,3.478169317274649e+110,110.54135071963572,illustrative ansatz; not an epsilon-recurrence calculation
3.1622776601683794e-12,1.0082457692877804e+111,4.378755740039821e+110,110.64135071963571,illustrative ansatz; not an epsilon-recurrence calculation
3.9810717055349695e-12,1.2693062202903448e+111,5.512526873175701e+110,110.7413507196357,illustrative ansatz; not an epsilon-recurrence calculation
5.011872336272715e-12,1.597961856071919e+111,6.939860163839126e+110,110.84135071963571,illustrative ansatz; not an epsilon-recurrence calculation
6.309573444801943e-12,2.0117147876867188e+111,8.736766314555137e+110,110.94135071963571,illustrative ansatz; not an epsilon-recurrence calculation
7.943282347242821e-12,2.532598867500916e+111,1.0998937130300724e+111,111.04135071963572,illustrative ansatz; not an epsilon-recurrence calculation
1e-11,3.18835307217803e+111,1.3846841456061985e+111,111.14135071963571,illustrative ansatz; not an epsilon-recurrence calculation
1.2589254117941662e-11,4.013898704336921e+111,1.7432140582121368e+111,111.2413507196357,illustrative ansatz; not an epsilon-recurrence calculation
1.5848931924611107e-11,5.053199079257428e+111,2.1945764760800938e+111,111.34135071963571,illustrative ansatz; not an epsilon-recurrence calculation
1.9952623149688828e-11,6.361600731732085e+111,2.7628080938629336e+111,111.44135071963571,illustrative ansatz; not an epsilon-recurrence calculation
2.5118864315095823e-11,8.008780820865885e+111,3.4781693172746493e+111,111.54135071963572,illustrative ansatz; not an epsilon-recurrence calculation
3.1622776601683794e-11,1.0082457692877804e+112,4.3787557400398213e+111,111.64135071963571,illustrative ansatz; not an epsilon-recurrence calculation
3.9810717055349695e-11,1.2693062202903448e+112,5.5125268731757e+111,111.7413507196357,illustrative ansatz; not an epsilon-recurrence calculation
5.011872336272715e-11,1.597961856071919e+112,6.939860163839127e+111,111.84135071963571,illustrative ansatz; not an epsilon-recurrence calculation
6.309573444801942e-11,2.011714787686719e+112,8.736766314555138e+111,111.94135071963571,illustrative ansatz; not an epsilon-recurrence calculation
7.943282347242822e-11,2.5325988675009164e+112,1.0998937130300728e+112,112.04135071963572,illustrative ansatz; not an epsilon-recurrence calculation
1e-10,3.18835307217803e+112,1.3846841456061986e+112,112.14135071963571,illustrative ansatz; not an epsilon-recurrence calculation
1.2589254117941662e-10,4.0138987043369205e+112,1.7432140582121365e+112,112.2413507196357,illustrative ansatz; not an epsilon-recurrence calculation
1.584893192461111e-10,5.053199079257428e+112,2.194576476080094e+112,112.34135071963571,illustrative ansatz; not an epsilon-recurrence calculation
1.9952623149688828e-10,6.361600731732086e+112,2.7628080938629336e+112,112.44135071963571,illustrative ansatz; not an epsilon-recurrence calculation
2.511886431509582e-10,8.008780820865884e+112,3.478169317274649e+112,112.54135071963572,illustrative ansatz; not an epsilon-recurrence calculation
3.1622776601683795e-10,1.0082457692877805e+113,4.378755740039822e+112,112.64135071963571,illustrative ansatz; not an epsilon-recurrence calculation
3.9810717055349694e-10,1.2693062202903449e+113,5.512526873175701e+112,112.7413507196357,illustrative ansatz; not an epsilon-recurrence calculation
5.011872336272714e-10,1.5979618560719188e+113,6.939860163839126e+112,112.84135071963571,illustrative ansatz; not an epsilon-recurrence calculation
6.309573444801942e-10,2.0117147876867188e+113,8.736766314555137e+112,112.94135071963571,illustrative ansatz; not an epsilon-recurrence calculation
7.943282347242822e-10,2.532598867500916e+113,1.0998937130300725e+113,113.04135071963572,illustrative ansatz; not an epsilon-recurrence calculation
1e-09,3.18835307217803e+113,1.3846841456061987e+113,113.14135071963571,illustrative ansatz; not an epsilon-recurrence calculation
1.2589254117941663e-09,4.013898704336921e+113,1.743214058212137e+113,113.2413507196357,illustrative ansatz; not an epsilon-recurrence calculation
1.584893192461111e-09,5.0531990792574286e+113,2.1945764760800938e+113,113.34135071963571,illustrative ansatz; not an epsilon-recurrence calculation
1.9952623149688828e-09,6.361600731732085e+113,2.7628080938629333e+113,113.44135071963571,illustrative ansatz; not an epsilon-recurrence calculation
2.511886431509582e-09,8.008780820865884e+113,3.478169317274649e+113,113.54135071963572,illustrative ansatz; not an epsilon-recurrence calculation
3.1622776601683795e-09,1.0082457692877804e+114,4.3787557400398216e+113,113.64135071963571,illustrative ansatz; not an epsilon-recurrence calculation
3.981071705534969e-09,1.2693062202903446e+114,5.5125268731757e+113,113.7413507196357,illustrative ansatz; not an epsilon-recurrence calculation
5.011872336272715e-09,1.5979618560719188e+114,6.939860163839126e+113,113.84135071963571,illustrative ansatz; not an epsilon-recurrence calculation
6.309573444801943e-09,2.0117147876867188e+114,8.736766314555138e+113,113.94135071963571,illustrative ansatz; not an epsilon-recurrence calculation
7.943282347242822e-09,2.532598867500916e+114,1.0998937130300727e+114,114.04135071963572,illustrative ansatz; not an epsilon-recurrence calculation
1e-08,3.1883530721780297e+114,1.3846841456061986e+114,114.14135071963571,illustrative ansatz; not an epsilon-recurrence calculation
1.2589254117941687e-08,4.013898704336929e+114,1.74321405821214e+114,114.2413507196357,illustrative ansatz; not an epsilon-recurrence calculation
1.584893192461114e-08,5.053199079257438e+114,2.194576476080098e+114,114.34135071963571,illustrative ansatz; not an epsilon-recurrence calculation
1.9952623149688786e-08,6.361600731732072e+114,2.762808093862928e+114,114.44135071963571,illustrative ansatz; not an epsilon-recurrence calculation
2.511886431509582e-08,8.008780820865884e+114,3.4781693172746485e+114,114.54135071963572,illustrative ansatz; not an epsilon-recurrence calculation
3.162277660168379e-08,1.0082457692877803e+115,4.378755740039821e+114,114.64135071963571,illustrative ansatz; not an epsilon-recurrence calculation
3.9810717055349776e-08,1.2693062202903473e+115,5.512526873175711e+114,114.7413507196357,illustrative ansatz; not an epsilon-recurrence calculation
5.011872336272725e-08,1.5979618560719222e+115,6.93986016383914e+114,114.84135071963571,illustrative ansatz; not an epsilon-recurrence calculation
6.309573444801943e-08,2.011714787686719e+115,8.736766314555138e+114,114.94135071963571,illustrative ansatz; not an epsilon-recurrence calculation
7.943282347242822e-08,2.5325988675009165e+115,1.0998937130300727e+115,115.04135071963572,illustrative ansatz; not an epsilon-recurrence calculation
1e-07,3.1883530721780296e+115,1.3846841456061986e+115,115.14135071963571,illustrative ansatz; not an epsilon-recurrence calculation
1.2589254117941688e-07,4.013898704336929e+115,1.7432140582121402e+115,115.2413507196357,illustrative ansatz; not an epsilon-recurrence calculation
1.584893192461114e-07,5.053199079257438e+115,2.194576476080098e+115,115.34135071963571,illustrative ansatz; not an epsilon-recurrence calculation
1.995262314968883e-07,6.3616007317320855e+115,2.7628080938629334e+115,115.44135071963571,illustrative ansatz; not an epsilon-recurrence calculation
2.5118864315095823e-07,8.008780820865884e+115,3.478169317274649e+115,115.54135071963572,illustrative ansatz; not an epsilon-recurrence calculation
3.162277660168379e-07,1.0082457692877804e+116,4.3787557400398215e+115,115.64135071963571,illustrative ansatz; not an epsilon-recurrence calculation
3.981071705534977e-07,1.2693062202903474e+116,5.512526873175712e+115,115.7413507196357,illustrative ansatz; not an epsilon-recurrence calculation
5.011872336272725e-07,1.597961856071922e+116,6.93986016383914e+115,115.84135071963571,illustrative ansatz; not an epsilon-recurrence calculation
6.309573444801942e-07,2.0117147876867188e+116,8.736766314555137e+115,115.94135071963571,illustrative ansatz; not an epsilon-recurrence calculation
7.943282347242821e-07,2.532598867500916e+116,1.0998937130300725e+116,116.04135071963572,illustrative ansatz; not an epsilon-recurrence calculation
1e-06,3.1883530721780294e+116,1.3846841456061985e+116,116.14135071963571,illustrative ansatz; not an epsilon-recurrence calculation
1.2589254117941687e-06,4.0138987043369286e+116,1.74321405821214e+116,116.2413507196357,illustrative ansatz; not an epsilon-recurrence calculation
1.584893192461114e-06,5.0531990792574386e+116,2.1945764760800984e+116,116.34135071963571,illustrative ansatz; not an epsilon-recurrence calculation
1.995262314968883e-06,6.361600731732086e+116,2.762808093862934e+116,116.44135071963571,illustrative ansatz; not an epsilon-recurrence calculation
2.5118864315095823e-06,8.008780820865885e+116,3.478169317274649e+116,116.54135071963572,illustrative ansatz; not an epsilon-recurrence calculation
3.162277660168379e-06,1.0082457692877804e+117,4.378755740039821e+116,116.64135071963571,illustrative ansatz; not an epsilon-recurrence calculation
3.981071705534978e-06,1.2693062202903474e+117,5.512526873175712e+116,116.7413507196357,illustrative ansatz; not an epsilon-recurrence calculation
5.011872336272725e-06,1.5979618560719222e+117,6.93986016383914e+116,116.84135071963571,illustrative ansatz; not an epsilon-recurrence calculation
6.309573444801943e-06,2.011714787686719e+117,8.736766314555137e+116,116.94135071963571,illustrative ansatz; not an epsilon-recurrence calculation
