step,time,base_positions,base_velocities,perturbed_positions,perturbed_velocities,position_torus_l1,positions_exactly_equal,complete_states_equal
0,0,1/20|7/20|13/20|17/20,3/5|-1/5|2/5|-2/5,1/20|7/20|13/20|17/20,2/5|-1/5|3/5|-2/5,0,True,False
1,1/20,2/25|17/50|67/100|83/100,3/5|-1/5|2/5|-2/5,7/100|17/50|17/25|83/100,2/5|-1/5|3/5|-2/5,1/50,False,False
2,1/10,11/100|33/100|69/100|81/100,3/5|-1/5|2/5|-2/5,9/100|33/100|71/100|81/100,2/5|-1/5|3/5|-2/5,1/25,False,False
3,3/20,7/50|8/25|71/100|79/100,3/5|-1/5|2/5|-2/5,11/100|8/25|37/50|79/100,2/5|-1/5|3/5|-2/5,3/50,False,False
4,1/5,17/100|31/100|73/100|77/100,3/5|-1/5|2/5|-2/5,13/100|31/100|77/100|77/100,2/5|-1/5|-2/5|3/5,2/25,False,False
5,1/4,1/5|3/10|3/4|3/4,3/5|-1/5|-2/5|2/5,3/20|3/10|3/4|4/5,2/5|-1/5|-2/5|3/5,1/10,False,False
6,3/10,23/100|29/100|73/100|77/100,3/5|-1/5|-2/5|2/5,17/100|29/100|73/100|83/100,2/5|-1/5|-2/5|3/5,3/25,False,False
7,7/20,13/50|7/25|71/100|79/100,3/5|-1/5|-2/5|2/5,19/100|7/25|71/100|43/50,2/5|-1/5|-2/5|3/5,7/50,False,False
8,2/5,27/100|29/100|69/100|81/100,-1/5|3/5|-2/5|2/5,21/100|27/100|69/100|89/100,2/5|-1/5|-2/5|3/5,4/25,False,False
9,9/20,13/50|8/25|67/100|83/100,-1/5|3/5|-2/5|2/5,23/100|13/50|67/100|23/25,2/5|-1/5|-2/5|3/5,9/50,False,False
10,1/2,1/4|7/20|13/20|17/20,-1/5|3/5|-2/5|2/5,1/4|1/4|13/20|19/20,-1/5|2/5|-2/5|3/5,1/5,False,False
11,11/20,6/25|19/50|63/100|87/100,-1/5|3/5|-2/5|2/5,6/25|27/100|63/100|49/50,-1/5|2/5|-2/5|3/5,11/50,False,False
12,3/5,23/100|41/100|61/100|89/100,-1/5|3/5|-2/5|2/5,23/100|29/100|61/100|1/100,-1/5|2/5|-2/5|3/5,6/25,False,False
13,13/20,11/50|11/25|59/100|91/100,-1/5|3/5|-2/5|2/5,11/50|31/100|59/100|1/25,-1/5|2/5|-2/5|3/5,13/50,False,False
14,7/10,21/100|47/100|57/100|93/100,-1/5|3/5|-2/5|2/5,21/100|33/100|57/100|7/100,-1/5|2/5|-2/5|3/5,7/25,False,False
15,3/4,1/5|1/2|11/20|19/20,-1/5|3/5|-2/5|2/5,1/5|7/20|11/20|1/10,-1/5|2/5|-2/5|3/5,3/10,False,False
16,4/5,19/100|53/100|53/100|97/100,-1/5|-2/5|3/5|2/5,19/100|37/100|53/100|13/100,-1/5|2/5|-2/5|3/5,8/25,False,False
17,17/20,9/50|51/100|14/25|99/100,-1/5|-2/5|3/5|2/5,9/50|39/100|51/100|4/25,-1/5|2/5|-2/5|3/5,17/50,False,False
18,9/10,17/100|49/100|59/100|1/100,-1/5|-2/5|3/5|2/5,19/100|41/100|49/100|17/100,3/5|2/5|-2/5|-1/5,9/25,False,False
19,19/20,4/25|47/100|31/50|3/100,-1/5|-2/5|3/5|2/5,11/50|43/100|47/100|4/25,3/5|2/5|-2/5|-1/5,19/50,False,False
20,1,3/20|9/20|13/20|1/20,-1/5|-2/5|3/5|2/5,1/4|9/20|9/20|3/20,3/5|-2/5|2/5|-1/5,2/5,False,False
21,21/20,7/50|43/100|17/25|7/100,-1/5|-2/5|3/5|2/5,7/25|43/100|47/100|7/50,3/5|-2/5|2/5|-1/5,21/50,False,False
22,11/10,13/100|41/100|71/100|9/100,-1/5|-2/5|3/5|2/5,31/100|41/100|49/100|13/100,3/5|-2/5|2/5|-1/5,11/25,False,False
23,23/20,3/25|39/100|37/50|11/100,-1/5|-2/5|3/5|2/5,17/50|39/100|51/100|3/25,3/5|-2/5|2/5|-1/5,23/50,False,False
24,6/5,13/100|37/100|77/100|11/100,2/5|-2/5|3/5|-1/5,37/100|37/100|53/100|11/100,-2/5|3/5|2/5|-1/5,12/25,False,False
25,5/4,3/20|7/20|4/5|1/10,2/5|-2/5|3/5|-1/5,7/20|2/5|11/20|1/10,-2/5|3/5|2/5|-1/5,1/2,False,False
26,13/10,17/100|33/100|83/100|9/100,2/5|-2/5|3/5|-1/5,33/100|43/100|57/100|9/100,-2/5|3/5|2/5|-1/5,13/25,False,False
27,27/20,19/100|31/100|43/50|2/25,2/5|-2/5|3/5|-1/5,31/100|23/50|59/100|2/25,-2/5|3/5|2/5|-1/5,27/50,False,False
28,7/5,21/100|29/100|89/100|7/100,2/5|-2/5|3/5|-1/5,29/100|49/100|61/100|7/100,-2/5|3/5|2/5|-1/5,14/25,False,False
