p,q,torus_return_error,rational_velocity_error
1,1,0.4142135623730950488016887242096980785696718753769480731766797379907324784621070,0.4142135623730950488016887242096980785696718753769480731766797379907324784621070
3,2,0.1715728752538099023966225515806038428606562492461038536466405240185350430757860,0.0857864376269049511983112757903019214303281246230519268233202620092675215378930
7,5,0.0710678118654752440084436210484903928483593768847403658833986899536623923105350,0.0142135623730950488016887242096980785696718753769480731766797379907324784621070
17,12,0.029437251522859414379735309483623057163937495476623121879843144111210258454716,0.0024531042935716178649779424569685880969947912897185934899869286759341882045597
41,29,0.012193308819756415248973002081244278520484385931494122123712401731241875401103,0.0004204589248191867327232069683187682248442891700515214525418069562497198414173
99,70,0.005050633883346583881789305321134500122968723613634877632418340648726507652510,0.0000721519126192369125969900760162071446138389087662125376059762949818072521787
239,169,0.00209204105306324748539439143897527827454693870422436685887572043378886009608,0.0000123789411423860797952330854377235400860765603800258394016314818567388171366
577,408,0.00086655177722008891100052244318394357387484620518614391466689978114878746034,0.0000021239014147551198799032412823135871908697210911425095947718131890901653440
1393,985,0.0003589374986230696633933465526073911267972462938520790295419208714912851754,3.644035519015935668967985305658793165454277094944964766923054532906448481E-7
3363,2378,0.0001486767799739495842138293379691613202803536174819858555830580381662171096,6.25217745895498672051426988936759126494338172758561209348435820715799451E-8
8119,5741,0.0000615839386751704949656878766690684862365390588881073183758047951588509563,1.07270403544975605235477924872092816994494093168624487677764840896796649E-8
19601,13860,0.000025508902623608594282453584631024347807275499705771218831448447848515197,1.8404691647625248400038661349945416888366161403875338262228317351021066E-9
47321,33461,0.000010566133427953306400780707407019790621988059476564880712907899461820562,3.157745861735544783712592990950596402375320365967807511104838307827191E-10
114243,80782,0.00000437663576770198148089216981698476656329938075264145740563264892487407,5.41783536889651343231433960162507311443066617890304449708183620716753E-11
275807,195025,0.00000181286189254934343899636777305025749538929797128196590164260161207242,9.2955359187250016100313691734406229734100652289807250436744089838350E-12
665857,470832,7.5091198260329460289943427088425157252078481007752560234744570072924E-7,1.5948618246068546804368315468877467387959714082252812093218933732823E-12
