size,channel_filling,particles,particles_per_cell,trials,macro_split_count,median_first_macro_split,micro_growth_count,median_first_micro_growth,half_saturation_count,median_first_half_saturation,three_quarter_saturation_count,tail_mean_normalized_micro_damage,tail_mean_normalized_macro_damage,mean_collision_sites_per_cell,cycle_searches,closed_cycle_pairs,changed_period_count,same_orbit_count,largest_closed_period
4,0.125,8,0.5,100,100,1.0,70,2.0,54,4.5,18,0.385745,0.249615,0.028653125,5,5,4,0,84
6,0.125,18,0.5,100,100,1.0,97,3,64,25.0,10,0.35732888888888886,0.24770777777777778,0.025290555555555556,5,5,5,0,41448
8,0.125,32,0.5,100,100,1.0,100,3.0,76,31.5,38,0.46828125,0.318393125,0.025666875,0,0,0,0,
10,0.125,50,0.5,100,100,1.0,100,3.0,60,30.5,43,0.49412,0.3343576,0.0238493,0,0,0,0,
4,0.25,16,1.0,100,100,1.0,94,3.0,53,13,14,0.33171,0.36290875,0.07734875,5,5,5,0,240
6,0.25,36,1.0,100,100,1.0,100,2.0,54,15.0,24,0.40953833333333334,0.44768555555555556,0.0761275,5,0,0,0,
8,0.25,64,1.0,100,100,1.0,100,2.0,53,16,10,0.4424678125,0.4666540625,0.07231390625,0,0,0,0,
10,0.25,100,1.0,100,100,1.0,100,2.5,54,18.0,12,0.4679956,0.480356,0.072446,0,0,0,0,
4,0.375,24,1.5,100,100,1.0,97,2,44,16.0,0,0.29908083333333335,0.456085,0.114065625,5,5,5,0,17220
6,0.375,54,1.5,100,100,1.0,100,2.0,54,29.5,0,0.3432233333333333,0.49923277777777775,0.11010583333333333,5,0,0,0,
8,0.375,96,1.5,100,100,1.0,100,2.0,55,23,0,0.380749375,0.5194284375,0.11166,0,0,0,0,
10,0.375,150,1.5,100,100,1.0,100,2.0,48,23.0,0,0.38094933333333336,0.5039624,0.1116681,0,0,0,0,
