size,channel_filling,particles,particles_per_cell,trial,seed,initial_density_equal,initial_direction_counts_equal,initial_momentum_equal,initial_hamming,first_macro_split,first_micro_growth,first_half_saturation,first_three_quarter_saturation,max_micro_hamming,max_normalized_micro_damage,max_macro_changed_cells,max_normalized_macro_damage,tail_mean_normalized_micro_damage,tail_mean_normalized_macro_damage,mean_collision_sites_per_cell,base_cycle_status,base_period,perturbed_cycle_status,perturbed_period,same_exact_orbit,pair_period_lcm,exact_same_time_reconvergence
4,0.125,8,0.5,0,2030196800,True,True,True,4,1,3,,,6,0.375,6,0.375,0.2915,0.21875,0.020875,closed,12,closed,4,False,12,False
4,0.125,8,0.5,1,2030196801,True,True,True,4,1,,,,4,0.25,4,0.25,0.25,0.125,0.03125,closed,8,closed,8,False,8,False
4,0.125,8,0.5,2,2030196802,True,True,True,4,1,2,5,,10,0.625,8,0.5,0.49975,0.33225,0.025,closed,20,closed,8,False,40,False
4,0.125,8,0.5,3,2030196803,True,True,True,4,1,3,3,10,12,0.75,10,0.625,0.521,0.382625,0.03125,closed,16,closed,84,False,336,False
4,0.125,8,0.5,4,2030196804,True,True,True,4,1,2,13,,10,0.625,9,0.5625,0.482,0.300625,0.0208125,closed,12,closed,20,False,60,False
4,0.125,8,0.5,5,2030196805,True,True,True,4,1,2,3,,8,0.5,7,0.4375,0.40625,0.312125,0.0625,not_searched,,not_searched,,,,False
4,0.125,8,0.5,6,2030196806,True,True,True,4,1,3,3,,8,0.5,8,0.5,0.354,0.2655,0.03125,not_searched,,not_searched,,,,False
4,0.125,8,0.5,7,2030196807,True,True,True,4,1,6,9,,10,0.625,9,0.5625,0.43775,0.3145,0.0208125,not_searched,,not_searched,,,,False
4,0.125,8,0.5,8,2030196808,True,True,True,4,1,2,2,,10,0.625,9,0.5625,0.4895,0.338625,0.03125,not_searched,,not_searched,,,,False
4,0.125,8,0.5,9,2030196809,True,True,True,4,1,,,,4,0.25,4,0.25,0.25,0.1875,0.0,not_searched,,not_searched,,,,False
4,0.125,8,0.5,10,2030196810,True,True,True,4,1,2,4,,8,0.5,5,0.3125,0.40675,0.2425,0.0,not_searched,,not_searched,,,,False
4,0.125,8,0.5,11,2030196811,True,True,True,4,1,2,3,9,14,0.875,8,0.5,0.62,0.32525,0.0990625,not_searched,,not_searched,,,,False
4,0.125,8,0.5,12,2030196812,True,True,True,4,1,6,7,10,12,0.75,7,0.4375,0.42475,0.260375,0.035125,not_searched,,not_searched,,,,False
4,0.125,8,0.5,13,2030196813,True,True,True,4,1,8,9,,10,0.625,6,0.375,0.40525,0.222375,0.0390625,not_searched,,not_searched,,,,False
4,0.125,8,0.5,14,2030196814,True,True,True,4,1,7,,,6,0.375,5,0.3125,0.297,0.207625,0.041625,not_searched,,not_searched,,,,False
4,0.125,8,0.5,15,2030196815,True,True,True,4,1,,,,4,0.25,4,0.25,0.25,0.1875,0.0,not_searched,,not_searched,,,,False
4,0.125,8,0.5,16,2030196816,True,True,True,4,1,4,,,6,0.375,6,0.375,0.333,0.255,0.0,not_searched,,not_searched,,,,False
4,0.125,8,0.5,17,2030196817,True,True,True,4,1,2,,,6,0.375,5,0.3125,0.34375,0.234125,0.0625,not_searched,,not_searched,,,,False
4,0.125,8,0.5,18,2030196818,True,True,True,4,1,3,,,6,0.375,6,0.375,0.35175,0.246375,0.052,not_searched,,not_searched,,,,False
4,0.125,8,0.5,19,2030196819,True,True,True,4,1,3,5,,10,0.625,7,0.4375,0.405,0.257875,0.03125,not_searched,,not_searched,,,,False
4,0.125,8,0.5,20,2030196820,True,True,True,4,1,2,3,,10,0.625,8,0.5,0.51725,0.337625,0.0375,not_searched,,not_searched,,,,False
4,0.125,8,0.5,21,2030196821,True,True,True,4,1,2,3,12,12,0.75,9,0.5625,0.5425,0.319625,0.02675,not_searched,,not_searched,,,,False
4,0.125,8,0.5,22,2030196822,True,True,True,4,1,,,,4,0.25,4,0.25,0.25,0.1875,0.0,not_searched,,not_searched,,,,False
4,0.125,8,0.5,23,2030196823,True,True,True,4,1,,,,4,0.25,4,0.25,0.25,0.125,0.0,not_searched,,not_searched,,,,False
4,0.125,8,0.5,24,2030196824,True,True,True,4,1,,,,4,0.25,4,0.25,0.25,0.15625,0.0208125,not_searched,,not_searched,,,,False
4,0.125,8,0.5,25,2030196825,True,True,True,4,1,,,,4,0.25,4,0.25,0.25,0.125,0.0,not_searched,,not_searched,,,,False
4,0.125,8,0.5,26,2030196826,True,True,True,4,1,6,7,,8,0.5,5,0.3125,0.44025,0.25725,0.020875,not_searched,,not_searched,,,,False
4,0.125,8,0.5,27,2030196827,True,True,True,4,1,2,2,15,12,0.75,8,0.5,0.61275,0.292375,0.0839375,not_searched,,not_searched,,,,False
4,0.125,8,0.5,28,2030196828,True,True,True,4,1,2,3,,10,0.625,6,0.375,0.4385,0.2505,0.0624375,not_searched,,not_searched,,,,False
4,0.125,8,0.5,29,2030196829,True,True,True,4,1,2,7,,10,0.625,6,0.375,0.422,0.26975,0.0981875,not_searched,,not_searched,,,,False
4,0.125,8,0.5,30,2030196830,True,True,True,4,2,3,3,,10,0.625,8,0.5,0.45625,0.2805,0.0,not_searched,,not_searched,,,,False
4,0.125,8,0.5,31,2030196831,True,True,True,4,1,3,6,,10,0.625,9,0.5625,0.5205,0.341625,0.0348125,not_searched,,not_searched,,,,False
4,0.125,8,0.5,32,2030196832,True,True,True,4,1,2,3,10,12,0.75,10,0.625,0.60275,0.37625,0.0385,not_searched,,not_searched,,,,False
4,0.125,8,0.5,33,2030196833,True,True,True,4,1,,,,4,0.25,4,0.25,0.25,0.1875,0.0,not_searched,,not_searched,,,,False
4,0.125,8,0.5,34,2030196834,True,True,True,4,1,3,6,,8,0.5,7,0.4375,0.392,0.289625,0.03575,not_searched,,not_searched,,,,False
4,0.125,8,0.5,35,2030196835,True,True,True,4,1,3,16,20,14,0.875,10,0.625,0.6075,0.37425,0.064875,not_searched,,not_searched,,,,False
4,0.125,8,0.5,36,2030196836,True,True,True,4,1,2,8,16,12,0.75,9,0.5625,0.51975,0.36925,0.0365,not_searched,,not_searched,,,,False
