pair_id,cycle_id,cycle,phase,state_encoding,state_masks,reversed_state_encoding,reversed_state_masks,density_encoding,density,successor_encoding,next_state_masks,predecessor_encoding,previous_state_masks,velocity_reversal_partner_cycle,velocity_reversal_partner_phase,observation_reversal_shift,least_period,collision_sites
1,P01-A,A,0,810420000,0 0 0 0 2 4 0 1 8,240180000,0 0 0 0 8 1 0 4 2,000/011/011,0 0 0 0 1 1 0 1 1,480210000,0 0 0 0 1 2 0 8 4,008002410,0 1 4 2 0 0 8 0 0,B,1,1,3,0
1,P01-A,A,1,480210000,0 0 0 0 1 2 0 8 4,120840000,0 0 0 0 4 8 0 2 1,000/011/011,0 0 0 0 1 1 0 1 1,008002410,0 1 4 2 0 0 8 0 0,810420000,0 0 0 0 2 4 0 1 8,B,0,1,3,0
1,P01-A,A,2,008002410,0 1 4 2 0 0 8 0 0,002008140,0 4 1 8 0 0 2 0 0,011/100/100,0 1 1 1 0 0 1 0 0,810420000,0 0 0 0 2 4 0 1 8,480210000,0 0 0 0 1 2 0 8 4,B,2,1,3,0
1,P01-B,B,0,120840000,0 0 0 0 4 8 0 2 1,480210000,0 0 0 0 1 2 0 8 4,000/011/011,0 0 0 0 1 1 0 1 1,240180000,0 0 0 0 8 1 0 4 2,002008140,0 4 1 8 0 0 2 0 0,A,1,1,3,0
1,P01-B,B,1,240180000,0 0 0 0 8 1 0 4 2,810420000,0 0 0 0 2 4 0 1 8,000/011/011,0 0 0 0 1 1 0 1 1,002008140,0 4 1 8 0 0 2 0 0,120840000,0 0 0 0 4 8 0 2 1,A,0,1,3,0
1,P01-B,B,2,002008140,0 4 1 8 0 0 2 0 0,008002410,0 1 4 2 0 0 8 0 0,011/100/100,0 1 1 1 0 0 1 0 0,120840000,0 0 0 0 4 8 0 2 1,240180000,0 0 0 0 8 1 0 4 2,A,2,1,3,0
2,P02-A,A,0,108204000,0 0 0 4 0 2 8 0 1,402801000,0 0 0 1 0 8 2 0 4,000/101/101,0 0 0 1 0 1 1 0 1,804102000,0 0 0 2 0 1 4 0 8,080020104,4 0 1 0 2 0 0 8 0,B,1,1,3,0
2,P02-A,A,1,804102000,0 0 0 2 0 1 4 0 8,201408000,0 0 0 8 0 4 1 0 2,000/101/101,0 0 0 1 0 1 1 0 1,080020104,4 0 1 0 2 0 0 8 0,108204000,0 0 0 4 0 2 8 0 1,B,0,1,3,0
2,P02-A,A,2,080020104,4 0 1 0 2 0 0 8 0,020080401,1 0 4 0 8 0 0 2 0,101/010/010,1 0 1 0 1 0 0 1 0,108204000,0 0 0 4 0 2 8 0 1,804102000,0 0 0 2 0 1 4 0 8,B,2,1,3,0
2,P02-B,B,0,201408000,0 0 0 8 0 4 1 0 2,804102000,0 0 0 2 0 1 4 0 8,000/101/101,0 0 0 1 0 1 1 0 1,402801000,0 0 0 1 0 8 2 0 4,020080401,1 0 4 0 8 0 0 2 0,A,1,1,3,0
2,P02-B,B,1,402801000,0 0 0 1 0 8 2 0 4,108204000,0 0 0 4 0 2 8 0 1,000/101/101,0 0 0 1 0 1 1 0 1,020080401,1 0 4 0 8 0 0 2 0,201408000,0 0 0 8 0 4 1 0 2,A,0,1,3,0
2,P02-B,B,2,020080401,1 0 4 0 8 0 0 2 0,080020104,4 0 1 0 2 0 0 8 0,101/010/010,1 0 1 0 1 0 0 1 0,201408000,0 0 0 8 0 4 1 0 2,402801000,0 0 0 1 0 8 2 0 4,A,2,1,3,0
3,P03-A,A,0,081042000,0 0 0 2 4 0 1 8 0,024018000,0 0 0 8 1 0 4 2 0,000/110/110,0 0 0 1 1 0 1 1 0,048021000,0 0 0 1 2 0 8 4 0,800200041,1 4 0 0 0 2 0 0 8,B,1,1,3,0
3,P03-A,A,1,048021000,0 0 0 1 2 0 8 4 0,012084000,0 0 0 4 8 0 2 1 0,000/110/110,0 0 0 1 1 0 1 1 0,800200041,1 4 0 0 0 2 0 0 8,081042000,0 0 0 2 4 0 1 8 0,B,0,1,3,0
3,P03-A,A,2,800200041,1 4 0 0 0 2 0 0 8,200800014,4 1 0 0 0 8 0 0 2,110/001/001,1 1 0 0 0 1 0 0 1,081042000,0 0 0 2 4 0 1 8 0,048021000,0 0 0 1 2 0 8 4 0,B,2,1,3,0
3,P03-B,B,0,012084000,0 0 0 4 8 0 2 1 0,048021000,0 0 0 1 2 0 8 4 0,000/110/110,0 0 0 1 1 0 1 1 0,024018000,0 0 0 8 1 0 4 2 0,200800014,4 1 0 0 0 8 0 0 2,A,1,1,3,0
3,P03-B,B,1,024018000,0 0 0 8 1 0 4 2 0,081042000,0 0 0 2 4 0 1 8 0,000/110/110,0 0 0 1 1 0 1 1 0,200800014,4 1 0 0 0 8 0 0 2,012084000,0 0 0 4 8 0 2 1 0,A,0,1,3,0
3,P03-B,B,2,200800014,4 1 0 0 0 8 0 0 2,800200041,1 4 0 0 0 2 0 0 8,110/001/001,1 1 0 0 0 1 0 0 1,012084000,0 0 0 4 8 0 2 1 0,024018000,0 0 0 8 1 0 4 2 0,A,2,1,3,0
4,P04-A,A,0,041800200,0 0 2 0 0 8 1 4 0,014200800,0 0 8 0 0 2 4 1 0,001/001/110,0 0 1 0 0 1 1 1 0,000081042,2 4 0 1 8 0 0 0 0,000048021,1 2 0 8 4 0 0 0 0,B,0,0,3,0
4,P04-A,A,1,000081042,2 4 0 1 8 0 0 0 0,000024018,8 1 0 4 2 0 0 0 0,110/110/000,1 1 0 1 1 0 0 0 0,000048021,1 2 0 8 4 0 0 0 0,041800200,0 0 2 0 0 8 1 4 0,B,2,0,3,0
4,P04-A,A,2,000048021,1 2 0 8 4 0 0 0 0,000012084,4 8 0 2 1 0 0 0 0,110/110/000,1 1 0 1 1 0 0 0 0,041800200,0 0 2 0 0 8 1 4 0,000081042,2 4 0 1 8 0 0 0 0,B,1,0,3,0
4,P04-B,B,0,014200800,0 0 8 0 0 2 4 1 0,041800200,0 0 2 0 0 8 1 4 0,001/001/110,0 0 1 0 0 1 1 1 0,000012084,4 8 0 2 1 0 0 0 0,000024018,8 1 0 4 2 0 0 0 0,A,0,0,3,0
4,P04-B,B,1,000012084,4 8 0 2 1 0 0 0 0,000048021,1 2 0 8 4 0 0 0 0,110/110/000,1 1 0 1 1 0 0 0 0,000024018,8 1 0 4 2 0 0 0 0,014200800,0 0 8 0 0 2 4 1 0,A,2,0,3,0
4,P04-B,B,2,000024018,8 1 0 4 2 0 0 0 0,000081042,2 4 0 1 8 0 0 0 0,110/110/000,1 1 0 1 1 0 0 0 0,014200800,0 0 8 0 0 2 4 1 0,000012084,4 8 0 2 1 0 0 0 0,A,1,0,3,0
5,P05-A,A,0,800014200,0 0 2 4 1 0 0 0 8,200041800,0 0 8 1 4 0 0 0 2,001/110/001,0 0 1 1 1 0 0 0 1,084000012,2 1 0 0 0 0 4 8 0,018000024,4 2 0 0 0 0 8 1 0,B,0,0,3,0
5,P05-A,A,1,084000012,2 1 0 0 0 0 4 8 0,021000048,8 4 0 0 0 0 1 2 0,110/000/110,1 1 0 0 0 0 1 1 0,018000024,4 2 0 0 0 0 8 1 0,800014200,0 0 2 4 1 0 0 0 8,B,2,0,3,0
