time,velocity_bit_hamming,density_l1
0,1,1
1,1,1
2,1,1
3,1,1
4,1,1
5,1,1
6,1,1
7,1,1
8,1,1
9,1,1
10,1,1
11,1,1
12,1,1
13,1,1
14,1,1
15,1,1
16,1,1
17,1,1
18,1,1
19,1,1
20,1,1
21,1,1
22,1,1
23,1,1
24,1,1
25,1,1
26,1,1
27,1,1
28,1,1
29,1,1
30,1,1
31,1,1
32,1,1
33,1,1
34,1,1
35,1,1
36,1,1
37,1,1
38,1,1
39,1,1
40,1,1
41,1,1
42,1,1
43,1,1
44,1,1
45,1,1
46,1,1
47,1,1
48,1,1
49,1,1
50,1,1
51,1,1
52,1,1
53,1,1
54,1,1
55,1,1
56,3,3
57,3,3
58,3,3
59,7,7
60,9,7
61,11,7
62,11,11
63,11,7
64,9,9
65,11,9
66,9,9
67,11,9
68,11,9
69,13,11
70,13,11
71,13,13
72,13,5
73,11,9
74,9,5
75,9,9
76,9,7
77,9,9
78,13,11
79,15,13
80,15,15
81,15,11
82,15,7
83,15,9
84,13,11
85,13,9
86,13,7
87,15,11
88,13,11
89,15,11
90,13,9
91,15,11
92,13,3
93,13,9
94,13,13
95,15,9
96,13,9
97,13,9
98,15,9
99,13,11
100,11,9
101,11,7
102,11,3
103,11,9
104,11,11
105,13,13
106,13,9
107,13,7
108,9,7
109,9,5
110,9,7
111,9,9
112,9,5
113,9,7
114,11,11
115,13,9
116,13,9
117,15,9
118,15,15
119,15,11
120,13,13
121,15,13
122,13,9
123,11,11
124,11,9
125,9,5
126,11,11
127,13,11
128,13,9
129,13,11
130,13,9
131,11,11
132,11,5
133,9,3
134,9,9
135,11,11
136,11,11
137,11,9
138,11,7
139,13,7
140,11,11
141,13,11
142,15,11
143,13,11
144,13,9
145,11,9
146,11,7
147,11,11
148,11,9
149,11,9
150,11,11
151,11,7
152,11,9
153,11,9
154,11,7
155,7,7
156,7,5
157,5,5
158,5,1
159,5,5
160,9,7
161,9,9
162,11,5
163,11,11
164,11,11
165,11,9
166,9,7
167,7,7
168,11,5
169,13,11
170,15,15
171,15,13
172,15,9
173,11,9
174,9,1
175,9,7
176,9,9
177,11,11
178,11,11
179,15,11
180,15,13
181,17,13
182,17,9
183,17,13
184,15,13
185,15,13
186,13,9
187,11,11
188,11,5
189,9,5
190,11,11
191,13,13
192,13,13
193,13,11
194,13,11
195,13,7
196,13,11
197,13,7
198,13,11
199,11,9
200,9,5
201,7,7
202,9,7
203,11,7
204,11,11
205,13,7
206,13,11
207,13,7
208,11,11
209,13,9
210,11,9
211,11,11
212,11,7
213,11,7
214,13,11
215,11,9
216,11,7
217,13,9
218,13,11
219,11,9
220,11,7
221,13,9
222,11,7
223,9,7
224,11,11
225,13,5
226,13,11
227,13,7
228,13,11
229,13,11
230,13,11
231,11,9
232,11,9
233,9,5
234,7,5
235,7,7
236,7,7
237,7,5
238,9,7
239,9,7
240,11,7
241,11,11
242,11,9
243,11,11
244,15,13
245,13,11
246,13,11
247,11,11
248,11,9
249,9,9
250,9,9
251,11,11
252,13,11
253,15,13
254,15,11
255,13,13
256,13,11
257,13,7
258,9,9
259,11,11
260,11,9
261,9,9
262,11,7
263,11,9
264,13,13
265,13,11
266,13,11
267,13,5
268,9,5
269,5,1
270,5,5
271,5,5
272,5,5
273,7,5
274,9,7
275,9,9
276,9,7
277,11,11
278,11,9
279,9,7
280,7,7
281,7,5
282,5,5
283,7,5
284,7,5
285,11,9
286,13,9
287,13,13
288,13,9
289,13,7
290,11,7
291,9,9
292,9,7
293,9,5
294,11,7
295,9,9
296,13,11
297,15,5
298,15,9
299,13,7
300,15,11
301,13,7
302,13,11
303,13,9
304,13,9
305,13,13
306,13,11
307,11,11
308,13,9
309,11,9
310,9,9
311,11,11
312,11,11
313,13,11
314,13,9
315,13,9
316,13,11
317,11,11
318,11,5
319,9,9
320,11,7
321,11,9
322,13,9
323,11,9
324,13,11
325,13,11
326,13,13
327,13,13
328,13,11
329,15,13
330,15,9
331,15,11
332,13,11
333,13,11
334,11,11
335,13,11
336,11,11
337,11,9
338,13,9
339,13,11
340,11,11
341,13,11
342,13,7
343,13,11
344,11,9
345,11,11
346,11,7
347,11,9
348,11,7
349,11,11
350,13,11
351,13,9
352,13,9
353,15,13
354,15,9
355,13,11
356,13,7
357,15,13
358,15,11
359,13,9
360,13,9
361,13,9
362,11,9
363,11,11
364,13,9
365,13,5
366,13,11
367,13,9
368,13,9
369,13,11
370,11,9
371,9,9
372,9,7
373,13,9
374,13,11
375,15,15
376,15,9
377,15,7
378,13,9
379,15,15
380,15,9
381,15,9
382,13,11
383,13,11
384,11,7
385,11,11
386,11,9
387,13,9
388,13,11
389,11,11
390,15,13
391,13,7
392,13,9
393,11,11
394,11,11
395,11,5
396,13,11
397,11,7
398,13,11
399,11,11
400,13,9
401,11,9
402,11,9
403,9,7
404,9,9
405,9,5
406,9,7
407,9,9
408,11,7
409,9,7
410,11,7
411,11,7
412,13,13
413,13,13
414,13,11
415,15,9
416,13,5
417,13,9
418,13,13
419,13,11
420,15,11
421,17,13
422,15,11
423,13,13
424,13,7
425,9,7
426,9,9
427,9,7
428,9,5
429,7,7
430,9,9
431,9,9
432,9,7
433,7,7
434,7,5
435,5,5
436,5,1
437,5,5
438,5,5
439,5,5
440,7,7
441,7,5
442,5,5
443,5,5
444,5,1
445,5,5
446,7,7
447,9,9
448,9,7
449,11,11
450,11,7
451,13,11
452,11,5
453,9,5
454,9,9
455,11,9
456,9,7
457,9,9
458,9,7
459,7,3
460,5,5
461,7,7
462,7,3
463,7,5
464,11,9
465,11,5
466,13,11
467,13,7
468,13,11
469,13,9
470,11,5
471,11,11
472,11,9
473,13,9
474,11,11
475,11,7
476,9,9
477,9,9
478,11,11
479,13,11
480,15,13
481,15,9
482,13,11
483,15,11
484,13,11
485,11,9
486,11,5
487,11,3
488,11,9
489,13,9
490,13,11
491,11,9
492,11,7
493,9,7
494,7,5
495,7,7
496,7,7
497,9,7
498,11,7
499,11,9
500,13,13
501,13,11
502,13,11
503,15,11
504,13,11
505,11,7
506,9,7
507,7,5
508,9,9
509,9,9
510,11,9
511,11,5
512,11,5
513,9,7
514,9,7
515,7,7
516,9,5
517,9,7
518,11,11
519,13,11
520,13,11
521,13,13
522,13,11
523,15,13
524,15,11
525,11,9
526,11,7
527,9,7
528,7,7
529,13,11
530,13,11
531,11,11
532,13,7
533,13,9
534,11,11
535,11,9
536,13,11
537,13,9
538,9,5
539,11,11
540,11,7
541,13,13
542,13,11
543,13,7
544,13,11
545,15,11
546,13,11
547,15,9
548,15,11
549,11,7
550,9,5
551,9,5
552,9,7
553,9,9
554,13,13
555,13,9
556,15,13
557,13,9
558,13,7
559,13,13
560,15,13
561,13,13
562,13,5
563,13,9
564,9,5
565,5,1
566,5,3
567,5,5
568,5,5
569,7,7
570,9,7
571,11,9
572,11,5
573,11,9
574,15,11
575,13,9
576,11,11
577,11,5
578,11,5
579,9,9
580,9,5
581,7,7
582,9,7
583,11,11
584,11,5
585,11,11
586,13,11
587,11,5
588,11,9
589,13,11
590,15,9
591,13,9
592,15,9
593,15,15
594,15,13
595,13,13
596,13,9
597,11,9
598,9,3
599,9,9
600,9,7
601,13,13
602,13,7
603,17,15
604,15,13
605,13,11
606,11,9
607,11,3
608,11,7
609,11,11
610,13,9
611,13,11
612,13,11
613,15,15
614,15,11
615,13,9
616,13,9
617,11,7
618,11,9
619,13,11
620,11,11
621,11,7
622,11,7
623,11,7
624,9,7
625,7,5
626,7,1
627,7,3
628,7,7
629,9,7
630,11,7
631,11,9
632,11,9
633,9,7
634,11,9
635,11,9
636,9,9
637,9,9
638,11,3
639,9,9
640,11,9
641,11,11
642,11,9
643,15,13
644,13,7
645,13,11
646,15,13
647,15,5
648,13,9
649,13,11
650,11,9
651,11,7
652,13,9
653,13,11
654,11,11
655,13,11
656,15,7
657,15,11
658,15,13
659,15,11
660,15,13
661,15,13
662,15,11
663,11,7
664,7,5
665,7,3
666,7,7
667,7,7
668,11,11
669,13,11
670,13,9
671,15,13
672,15,11
673,15,11
674,13,13
675,15,11
676,15,11
677,15,9
678,15,13
679,17,11
680,17,13
681,15,9
682,15,13
683,15,11
684,11,11
685,11,9
686,11,9
687,9,9
688,9,9
689,11,5
690,9,9
691,11,11
692,11,9
693,13,11
694,13,11
695,13,7
696,11,11
697,11,7
698,7,5
699,5,5
700,9,7
701,9,9
702,11,9
703,11,11
704,13,9
705,9,9
706,9,5
707,9,9
708,9,5
709,9,9
710,13,13
711,13,9
712,11,11
713,11,9
714,11,11
715,11,11
716,13,13
717,15,13
718,15,11
719,13,7
720,11,7
721,11,9
722,9,9
723,9,5
724,11,9
725,13,11
726,11,11
727,13,9
728,13,9
729,11,11
730,11,7
731,9,5
732,7,7
733,9,7
734,7,7
735,7,7
736,9,7
737,9,5
738,9,7
739,9,9
740,9,5
741,7,7
742,9,7
743,9,5
744,7,7
745,9,5
746,11,11
747,11,7
748,9,7
749,7,7
750,7,5
751,7,3
752,7,7
753,7,7
754,7,7
755,9,7
756,9,5
757,9,5
758,11,11
759,13,7
760,13,13
761,13,9
762,13,5
763,11,3
764,9,7
765,7,5
766,9,5
767,11,7
768,11,7
769,13,11
770,13,7
771,11,7
772,9,7
773,9,5
774,7,7
775,7,5
776,7,5
777,7,7
778,11,7
779,11,11
780,11,9
781,11,7
782,11,7
783,11,3
784,13,13
785,13,9
786,13,9
787,15,9
788,15,15
789,15,9
790,13,9
791,13,7
792,13,7
793,13,13
794,13,11
795,13,11
796,13,9
797,11,7
798,11,9
799,13,13
800,13,9
801,11,9
802,11,5
803,11,7
804,9,9
805,9,9
806,11,9
807,11,5
808,9,7
809,11,9
810,11,7
811,11,9
812,11,9
813,9,5
814,11,9
815,9,5
816,9,9
817,11,9
818,11,9
819,13,13
820,13,11
821,13,11
822,11,9
823,11,5
824,9,7
825,11,7
826,11,9
827,13,11
828,13,11
829,15,9
830,13,11
831,13,11
832,11,9
833,13,5
834,11,5
835,11,9
836,9,9
837,9,7
838,9,7
839,9,7
840,11,9
841,13,9
842,11,9
843,9,7
844,11,7
845,13,13
846,15,13
847,17,11
848,15,11
849,15,13
850,13,9
851,11,11
852,11,7
853,9,7
854,7,3
855,5,1
856,5,5
857,5,5
858,5,5
859,7,7
860,9,5
861,7,7
862,7,7
863,7,5
864,5,1
865,5,5
866,7,5
867,7,7
868,9,9
869,13,13
870,13,9
871,15,13
872,15,7
873,15,11
874,13,9
875,13,11
876,11,9
877,11,7
878,13,9
879,15,11
880,15,13
881,15,11
882,15,13
883,15,15
884,15,15
885,15,13
886,15,11
887,13,11
888,13,9
889,11,5
890,11,11
891,13,11
892,13,11
893,15,13
894,17,15
895,15,11
896,13,9
897,13,7
898,9,7
899,7,7
900,9,9
901,13,11
902,15,5
903,15,11
904,17,13
905,15,9
906,13,9
907,11,9
908,11,5
909,11,9
910,13,13
911,13,13
912,13,11
913,15,13
914,15,15
915,15,15
916,15,11
917,15,9
918,15,11
919,15,11
920,13,9
921,13,7
922,11,11
923,11,7
924,13,13
925,15,11
926,13,11
927,15,9
928,15,15
929,15,13
930,13,11
931,13,9
932,11,9
933,9,1
934,9,9
935,9,9
936,11,11
937,11,11
938,15,9
939,13,9
940,13,9
941,13,11
942,13,11
943,15,13
944,15,11
945,11,11
946,11,5
947,9,7
948,7,7
949,13,9
950,13,11
951,11,11
952,13,9
953,11,7
954,9,7
955,9,9
956,9,9
957,9,7
958,7,7
959,11,11
960,11,7
961,13,13
962,15,9
963,15,11
964,15,13
965,17,13
966,15,13
967,13,5
968,13,7
969,7,5
970,7,5
971,5,5
972,7,7
973,9,7
974,9,7
975,9,9
976,9,7
977,7,5
978,5,5
979,9,5
980,11,11
981,11,9
982,11,9
983,13,5
984,11,9
985,11,7
986,9,9
987,11,7
988,9,7
989,11,11
990,13,11
991,15,13
992,13,9
993,13,9
994,9,5
995,9,5
996,9,7
997,9,5
998,9,9
999,13,9
1000,11,9
1001,9,9
1002,11,9
1003,11,11
1004,13,11
1005,13,11
1006,17,13
1007,15,9
1008,17,15
1009,15,13
1010,15,9
1011,13,13
1012,13,7
1013,11,9
1014,11,9
1015,11,9
1016,9,9
1017,9,7
1018,11,7
1019,11,9
1020,13,11
1021,13,9
1022,15,9
1023,15,13
1024,15,11
1025,15,15
1026,15,11
1027,15,13
1028,15,9
1029,13,13
1030,13,7
1031,11,7
1032,9,5
1033,7,7
1034,9,9
1035,11,7
1036,13,9
1037,13,7
1038,13,7
1039,13,11
1040,13,9
1041,13,11
1042,13,9
1043,13,9
1044,11,11
1045,11,9
1046,11,9
1047,11,7
1048,15,9
1049,15,15
1050,15,9
1051,15,11
1052,15,9
1053,13,7
1054,11,9
1055,13,11
1056,13,11
1057,15,7
1058,15,15
1059,15,9
1060,15,11
1061,13,5
1062,13,9
1063,13,13
1064,13,11
1065,15,11
1066,17,15
1067,15,11
1068,13,13
1069,13,7
1070,7,5
1071,9,9
1072,9,7
1073,11,11
1074,13,9
1075,13,11
1076,11,11
1077,11,7
1078,7,5
1079,5,5
1080,7,7
1081,7,5
1082,5,5
1083,5,5
1084,5,1
1085,5,5
1086,5,5
1087,7,7
1088,7,7
1089,7,5
1090,5,5
1091,5,1
1092,5,5
1093,5,5
1094,7,7
1095,9,9
1096,9,5
1097,7,7
1098,7,5
1099,5,1
1100,5,5
1101,5,5
1102,5,5
1103,5,5
1104,7,5
1105,7,5
1106,9,7
1107,11,7
1108,13,13
1109,13,9
1110,11,9
1111,11,7
1112,9,7
1113,9,9
1114,9,7
1115,11,9
1116,11,7
1117,13,9
1118,13,11
1119,11,11
1120,15,13
1121,13,7
1122,13,9
1123,11,11
1124,11,9
1125,11,9
1126,15,13
1127,13,9
1128,15,7
1129,15,15
1130,15,9
1131,13,11
1132,13,9
1133,11,5
1134,9,9
1135,9,5
1136,7,5
1137,9,7
1138,11,9
1139,9,9
1140,9,5
1141,11,9
1142,9,3
1143,9,9
1144,9,9
1145,9,7
1146,7,5
1147,7,3
1148,7,3
1149,7,7
1150,7,5
1151,7,5
1152,7,3
1153,7,7
1154,9,9
1155,11,11
1156,11,9
1157,11,9
1158,9,7
1159,9,7
1160,9,7
1161,9,9
1162,9,5
1163,11,9
1164,13,13
1165,15,13
1166,15,7
1167,15,9
1168,11,9
1169,11,7
1170,7,5
1171,7,7
1172,7,3
1173,7,7
1174,9,7
1175,9,9
1176,9,7
1177,11,7
1178,11,7
1179,11,9
1180,9,5
1181,9,5
1182,7,3
1183,7,7
1184,7,7
1185,9,9
1186,9,3
1187,9,5
1188,7,5
1189,9,7
1190,9,7
1191,7,7
1192,7,5
1193,7,7
1194,7,5
1195,9,9
1196,11,7
1197,11,7
1198,13,13
1199,13,9
1200,15,13
1201,15,13
1202,15,9
1203,13,13
1204,13,11
1205,11,5
1206,13,11
1207,11,11
1208,13,11
1209,11,11
1210,13,11
1211,13,9
1212,13,9
1213,9,9
1214,9,9
1215,9,9
1216,9,9
1217,9,9
1218,13,7
1219,15,11
1220,13,13
1221,13,11
1222,13,9
1223,11,9
1224,9,5
1225,11,9
1226,11,9
1227,9,9
1228,9,9
1229,13,11
1230,11,9
1231,13,13
1232,15,7
1233,15,11
1234,15,13
1235,15,11
1236,11,9
1237,9,7
1238,9,1
1239,9,7
1240,11,11
1241,13,13
1242,15,9
1243,15,9
1244,15,11
1245,15,11
1246,13,9
1247,11,7
1248,11,7
1249,9,5
1250,11,11
1251,11,11
1252,13,9
1253,13,11
1254,11,5
1255,9,7
1256,11,7
1257,11,11
1258,11,9
1259,15,11
1260,15,15
1261,17,15
1262,15,9
1263,15,11
1264,13,13
1265,13,11
1266,11,9
1267,13,11
1268,13,7
1269,13,11
1270,11,11
1271,13,11
1272,11,11
1273,11,11
1274,13,11
1275,13,5
1276,13,11
1277,13,7
1278,13,11
1279,13,11
1280,11,9
1281,9,9
1282,9,7
1283,9,9
1284,11,7
1285,9,9
1286,9,9
1287,9,5
1288,7,5
1289,9,7
1290,11,7
1291,11,11
1292,13,9
1293,13,11
1294,13,9
1295,11,9
1296,11,9
1297,9,9
1298,13,11
1299,11,11
1300,11,11
1301,13,9
1302,13,7
1303,13,11
1304,11,11
1305,13,13
1306,15,11
1307,15,9
1308,13,9
1309,15,13
1310,13,9
1311,11,9
1312,13,9
1313,13,5
1314,13,11
1315,15,11
1316,15,11
1317,13,9
1318,13,13
1319,15,15
1320,15,13
1321,15,11
1322,15,7
1323,15,7
1324,15,15
1325,15,13
1326,15,9
1327,15,11
1328,13,7
1329,11,7
1330,13,11
1331,11,7
1332,13,9
1333,11,9
1334,13,11
1335,13,9
1336,13,11
1337,11,9
1338,9,5
1339,5,5
1340,7,7
1341,9,7
1342,9,5
1343,11,11
1344,11,11
1345,11,7
1346,13,11
1347,13,5
1348,9,5
1349,9,7
1350,13,11
1351,11,9
1352,13,9
1353,13,11
1354,13,9
1355,13,11
1356,11,7
1357,11,11
1358,11,7
