sensor_count,sites,present_classes,predictive_classes,refinement_word_length,class_counts,reconstructs_all_states
1,0,16,1156,11,16;95;260;558;740;848;940;1036;1076;1116;1156;1156,0
1,1,16,1156,11,16;95;260;558;740;848;940;1036;1076;1116;1156;1156,0
1,2,16,1156,11,16;95;260;558;740;848;940;1036;1076;1116;1156;1156,0
1,3,16,1156,11,16;95;260;558;740;848;940;1036;1076;1116;1156;1156,0
1,4,16,1156,11,16;95;260;558;740;848;940;1036;1076;1116;1156;1156,0
1,5,16,1156,11,16;95;260;558;740;848;940;1036;1076;1116;1156;1156,0
1,6,16,1156,11,16;95;260;558;740;848;940;1036;1076;1116;1156;1156,0
1,7,16,1156,11,16;95;260;558;740;848;940;1036;1076;1116;1156;1156,0
1,8,16,1156,11,16;95;260;558;740;848;940;1036;1076;1116;1156;1156,0
2,0;1,95,2815,11,95;529;1148;1837;2278;2433;2570;2710;2745;2780;2815;2815,0
2,0;2,95,2815,11,95;529;1148;1837;2278;2433;2570;2710;2745;2780;2815;2815,0
2,0;3,95,2815,11,95;529;1148;1837;2278;2433;2570;2710;2745;2780;2815;2815,0
2,0;4,95,4945,11,95;817;2947;4099;4565;4689;4813;4933;4937;4941;4945;4945,0
2,0;5,95,4945,11,95;817;2947;4099;4565;4689;4813;4933;4937;4941;4945;4945,0
2,0;6,95,2815,11,95;529;1148;1837;2278;2433;2570;2710;2745;2780;2815;2815,0
2,0;7,95,4945,11,95;817;2947;4099;4565;4689;4813;4933;4937;4941;4945;4945,0
2,0;8,95,4945,11,95;817;2947;4099;4565;4689;4813;4933;4937;4941;4945;4945,0
2,1;2,95,2815,11,95;529;1148;1837;2278;2433;2570;2710;2745;2780;2815;2815,0
2,1;3,95,4945,11,95;817;2947;4099;4565;4689;4813;4933;4937;4941;4945;4945,0
2,1;4,95,2815,11,95;529;1148;1837;2278;2433;2570;2710;2745;2780;2815;2815,0
2,1;5,95,4945,11,95;817;2947;4099;4565;4689;4813;4933;4937;4941;4945;4945,0
2,1;6,95,4945,11,95;817;2947;4099;4565;4689;4813;4933;4937;4941;4945;4945,0
2,1;7,95,2815,11,95;529;1148;1837;2278;2433;2570;2710;2745;2780;2815;2815,0
2,1;8,95,4945,11,95;817;2947;4099;4565;4689;4813;4933;4937;4941;4945;4945,0
2,2;3,95,4945,11,95;817;2947;4099;4565;4689;4813;4933;4937;4941;4945;4945,0
2,2;4,95,4945,11,95;817;2947;4099;4565;4689;4813;4933;4937;4941;4945;4945,0
2,2;5,95,2815,11,95;529;1148;1837;2278;2433;2570;2710;2745;2780;2815;2815,0
2,2;6,95,4945,11,95;817;2947;4099;4565;4689;4813;4933;4937;4941;4945;4945,0
2,2;7,95,4945,11,95;817;2947;4099;4565;4689;4813;4933;4937;4941;4945;4945,0
2,2;8,95,2815,11,95;529;1148;1837;2278;2433;2570;2710;2745;2780;2815;2815,0
2,3;4,95,2815,11,95;529;1148;1837;2278;2433;2570;2710;2745;2780;2815;2815,0
2,3;5,95,2815,11,95;529;1148;1837;2278;2433;2570;2710;2745;2780;2815;2815,0
2,3;6,95,2815,11,95;529;1148;1837;2278;2433;2570;2710;2745;2780;2815;2815,0
2,3;7,95,4945,11,95;817;2947;4099;4565;4689;4813;4933;4937;4941;4945;4945,0
2,3;8,95,4945,11,95;817;2947;4099;4565;4689;4813;4933;4937;4941;4945;4945,0
2,4;5,95,2815,11,95;529;1148;1837;2278;2433;2570;2710;2745;2780;2815;2815,0
2,4;6,95,4945,11,95;817;2947;4099;4565;4689;4813;4933;4937;4941;4945;4945,0
2,4;7,95,2815,11,95;529;1148;1837;2278;2433;2570;2710;2745;2780;2815;2815,0
2,4;8,95,4945,11,95;817;2947;4099;4565;4689;4813;4933;4937;4941;4945;4945,0
2,5;6,95,4945,11,95;817;2947;4099;4565;4689;4813;4933;4937;4941;4945;4945,0
