sensor_count,sites,present_classes,predictive_classes,refinement_word_length,class_counts,reconstructs_all_states
4,0;1;2;3,525,6891,8,525;2790;5446;6200;6781;6837;6887;6891;6891,0
4,0;1;2;4,525,6891,8,525;2790;5446;6200;6781;6837;6887;6891;6891,0
4,0;1;2;5,525,6891,8,525;2790;5446;6200;6781;6837;6887;6891;6891,0
4,0;1;2;6,525,6891,8,525;2790;5446;6200;6781;6837;6887;6891;6891,0
4,0;1;2;7,525,6891,8,525;2790;5446;6200;6781;6837;6887;6891;6891,0
4,0;1;2;8,525,6891,8,525;2790;5446;6200;6781;6837;6887;6891;6891,0
4,0;1;3;4,525,4945,11,525;3223;3665;4099;4565;4689;4813;4933;4937;4941;4945;4945,0
4,0;1;3;5,525,6933,7,525;3928;5686;6329;6833;6887;6933;6933,0
4,0;1;3;6,525,6891,8,525;2790;5446;6200;6781;6837;6887;6891;6891,0
4,0;1;3;7,525,6933,7,525;3928;5686;6329;6833;6887;6933;6933,0
4,0;1;3;8,525,8737,11,525;4754;7983;8296;8537;8601;8665;8725;8729;8733;8737;8737,0
4,0;1;4;5,525,6933,7,525;3928;5686;6329;6833;6887;6933;6933,0
4,0;1;4;6,525,6933,7,525;3928;5686;6329;6833;6887;6933;6933,0
4,0;1;4;7,525,6891,8,525;2790;5446;6200;6781;6837;6887;6891;6891,0
4,0;1;4;8,525,8737,11,525;4754;7983;8296;8537;8601;8665;8725;8729;8733;8737;8737,0
4,0;1;5;6,525,8737,11,525;4754;7983;8296;8537;8601;8665;8725;8729;8733;8737;8737,0
4,0;1;5;7,525,8737,11,525;4754;7983;8296;8537;8601;8665;8725;8729;8733;8737;8737,0
4,0;1;5;8,525,9081,8,525;4754;8224;8738;9055;9067;9077;9081;9081,0
4,0;1;6;7,525,4945,11,525;3223;3665;4099;4565;4689;4813;4933;4937;4941;4945;4945,0
4,0;1;6;8,525,6933,7,525;3928;5686;6329;6833;6887;6933;6933,0
4,0;1;7;8,525,6933,7,525;3928;5686;6329;6833;6887;6933;6933,0
4,0;2;3;4,525,6933,7,525;3928;5686;6329;6833;6887;6933;6933,0
4,0;2;3;5,525,4945,11,525;3223;3665;4099;4565;4689;4813;4933;4937;4941;4945;4945,0
4,0;2;3;6,525,6891,8,525;2790;5446;6200;6781;6837;6887;6891;6891,0
4,0;2;3;7,525,8737,11,525;4754;7983;8296;8537;8601;8665;8725;8729;8733;8737;8737,0
4,0;2;3;8,525,6933,7,525;3928;5686;6329;6833;6887;6933;6933,0
4,0;2;4;5,525,6933,7,525;3928;5686;6329;6833;6887;6933;6933,0
4,0;2;4;6,525,8737,11,525;4754;7983;8296;8537;8601;8665;8725;8729;8733;8737;8737,0
4,0;2;4;7,525,9081,8,525;4754;8224;8738;9055;9067;9077;9081;9081,0
4,0;2;4;8,525,8737,11,525;4754;7983;8296;8537;8601;8665;8725;8729;8733;8737;8737,0
4,0;2;5;6,525,6933,7,525;3928;5686;6329;6833;6887;6933;6933,0
4,0;2;5;7,525,8737,11,525;4754;7983;8296;8537;8601;8665;8725;8729;8733;8737;8737,0
4,0;2;5;8,525,6891,8,525;2790;5446;6200;6781;6837;6887;6891;6891,0
4,0;2;6;7,525,6933,7,525;3928;5686;6329;6833;6887;6933;6933,0
4,0;2;6;8,525,4945,11,525;3223;3665;4099;4565;4689;4813;4933;4937;4941;4945;4945,0
4,0;2;7;8,525,6933,7,525;3928;5686;6329;6833;6887;6933;6933,0
4,0;3;4;5,525,6891,8,525;2790;5446;6200;6781;6837;6887;6891;6891,0
4,0;3;4;6,525,6891,8,525;2790;5446;6200;6781;6837;6887;6891;6891,0
4,0;3;4;7,525,6933,7,525;3928;5686;6329;6833;6887;6933;6933,0
4,0;3;4;8,525,8737,11,525;4754;7983;8296;8537;8601;8665;8725;8729;8733;8737;8737,0
4,0;3;5;6,525,6891,8,525;2790;5446;6200;6781;6837;6887;6891;6891,0
4,0;3;5;7,525,8737,11,525;4754;7983;8296;8537;8601;8665;8725;8729;8733;8737;8737,0
4,0;3;5;8,525,6933,7,525;3928;5686;6329;6833;6887;6933;6933,0
4,0;3;6;7,525,6891,8,525;2790;5446;6200;6781;6837;6887;6891;6891,0
4,0;3;6;8,525,6891,8,525;2790;5446;6200;6781;6837;6887;6891;6891,0
4,0;3;7;8,525,9081,8,525;4754;8224;8738;9055;9067;9077;9081;9081,0
4,0;4;5;6,525,9081,8,525;4754;8224;8738;9055;9067;9077;9081;9081,0
4,0;4;5;7,525,8737,11,525;4754;7983;8296;8537;8601;8665;8725;8729;8733;8737;8737,0
4,0;4;5;8,525,8737,11,525;4754;7983;8296;8537;8601;8665;8725;8729;8733;8737;8737,0
4,0;4;6;7,525,6933,7,525;3928;5686;6329;6833;6887;6933;6933,0
4,0;4;6;8,525,8737,11,525;4754;7983;8296;8537;8601;8665;8725;8729;8733;8737;8737,0
4,0;4;7;8,525,8737,11,525;4754;7983;8296;8537;8601;8665;8725;8729;8733;8737;8737,0
4,0;5;6;7,525,8737,11,525;4754;7983;8296;8537;8601;8665;8725;8729;8733;8737;8737,0
4,0;5;6;8,525,6933,7,525;3928;5686;6329;6833;6887;6933;6933,0
