seed,period,log10_period,brent_evaluations,analytic_period_divisor,initial_collision_sites,mean_collision_sites_30,max_collision_sites_30,nonzero_collision_steps_30,mean_step_hamming_30,unique_density_frames_31,collision_t0,collision_t1,collision_t2,collision_t3,collision_t4,collision_t5,collision_t6,collision_t7,collision_t8,collision_t9,collision_t10,collision_t11,collision_t12,collision_t13,collision_t14,collision_t15,collision_t16,collision_t17,collision_t18,collision_t19,collision_t20,collision_t21,collision_t22,collision_t23,collision_t24,collision_t25,collision_t26,collision_t27,collision_t28,collision_t29,hamming_t0,hamming_t1,hamming_t2,hamming_t3,hamming_t4,hamming_t5,hamming_t6,hamming_t7,hamming_t8,hamming_t9,hamming_t10,hamming_t11,hamming_t12,hamming_t13,hamming_t14,hamming_t15,hamming_t16,hamming_t17,hamming_t18,hamming_t19,hamming_t20,hamming_t21,hamming_t22,hamming_t23,hamming_t24,hamming_t25,hamming_t26,hamming_t27,hamming_t28,hamming_t29
880000,30,1.477121254720,61,5,0,0.600000000000,2,14,25.266666666667,26,0,0,2,0,0,0,0,2,1,1,0,0,1,1,1,0,0,2,0,0,0,0,2,1,1,0,0,1,1,1,24,24,24,24,24,24,24,24,26,28,28,28,26,26,24,22,22,26,26,26,26,26,22,24,26,26,26,28,28,26
880001,1555,3.191730393363,3602,5,1,0.866666666667,3,20,24.933333333333,31,1,0,2,1,0,0,1,3,0,1,0,1,1,0,1,0,1,2,0,1,1,1,1,1,2,0,1,1,2,0,24,24,24,26,24,24,26,24,26,24,24,26,24,24,24,26,26,28,26,28,28,26,24,24,26,24,22,24,24,24
880002,6950,3.841984804590,15141,5,2,1.200000000000,2,25,25.533333333333,31,2,2,2,1,1,1,2,1,0,1,2,1,1,1,1,0,1,2,2,2,1,0,0,2,1,1,0,1,2,2,26,24,24,26,26,28,26,26,26,26,26,24,24,28,28,26,26,26,26,24,26,28,28,26,24,24,24,22,26,22
880003,60,1.778151250384,123,5,0,0.600000000000,2,17,24.800000000000,26,0,1,1,1,0,0,0,1,2,1,0,0,0,1,1,0,1,0,1,0,0,1,1,1,1,0,0,1,1,1,26,24,24,24,24,24,24,24,24,26,26,26,26,26,24,24,26,26,28,28,28,26,26,22,22,22,22,22,24,26
880004,2140,3.330413773349,6235,5,1,0.933333333333,2,18,26.066666666667,30,1,2,1,0,2,1,1,0,0,2,2,2,0,1,0,2,2,2,0,0,1,2,1,0,0,2,0,1,0,0,26,28,26,26,28,28,28,26,26,24,24,22,24,22,24,24,26,26,28,28,28,28,28,28,28,26,24,26,26,26
880005,430,2.633468455580,941,5,1,0.633333333333,2,15,24.200000000000,30,1,1,0,1,0,1,2,0,1,0,1,0,0,2,1,0,1,0,1,1,1,0,0,2,0,0,2,0,0,0,26,24,24,26,24,24,22,22,22,24,24,24,24,24,24,24,26,26,26,26,26,24,24,26,22,22,24,24,24,24
880006,15,1.176091259056,30,5,0,0.266666666667,1,8,24.666666666667,13,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,24,26,24,24,24,24,22,24,24,26,26,26,26,26,24,24,26,24,24,24,24,22,24,24,26,26,26,26,26,24
880007,85705,4.933006159252,216776,5,2,1.300000000000,3,23,25.133333333333,31,2,0,1,2,1,0,1,2,1,0,0,3,2,0,2,2,1,2,1,0,1,1,1,3,2,1,0,2,3,2,26,24,26,28,26,24,26,28,28,26,26,26,26,22,24,26,24,26,26,26,26,24,24,24,24,24,24,24,22,24
880008,11350,4.054995861529,27733,5,1,1.133333333333,3,21,25.600000000000,31,1,1,2,0,3,1,0,0,1,2,1,0,0,1,2,2,0,2,1,2,2,1,0,0,2,1,2,1,0,3,26,26,24,22,22,26,26,26,28,28,28,28,28,26,28,26,22,22,22,22,28,28,26,26,26,26,24,26,26,26
880009,195,2.290034611363,450,5,1,0.800000000000,3,15,18.733333333333,30,1,2,0,0,0,1,2,1,0,2,0,0,1,0,3,1,2,0,0,0,0,2,0,0,2,1,1,0,0,2,16,16,20,20,20,20,20,18,18,20,16,16,14,14,18,20,18,22,22,22,22,22,18,18,20,18,18,20,20,16
880010,2135,3.329397879361,6230,5,1,0.900000000000,2,20,27.466666666667,31,1,1,1,1,0,2,0,1,0,0,2,1,1,1,1,1,2,2,1,0,1,0,2,2,0,0,1,0,2,0,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,26,26,26,28,28,26,26,28,28,28,28,26,26,26
880011,2250,3.352182518111,6345,5,2,1.000000000000,3,20,26.133333333333,31,2,0,1,0,1,3,0,1,1,0,2,1,1,1,1,1,1,0,2,3,0,0,0,1,3,2,0,0,1,1,24,26,26,28,28,26,24,26,28,26,26,28,28,26,26,26,24,24,26,24,26,26,26,24,26,26,28,28,28,26
880012,4915,3.691523522168,13106,5,0,1.166666666667,4,21,25.133333333333,31,0,4,0,1,1,0,4,0,2,1,1,2,1,0,1,1,3,1,0,0,2,2,1,1,1,1,1,0,0,3,22,28,24,24,24,24,20,24,22,26,26,24,26,26,24,26,28,28,26,26,28,24,24,24,24,26,28,26,26,26
880013,2375,3.375663613961,6470,5,2,1.066666666667,3,24,26.533333333333,30,2,2,0,1,2,1,1,0,1,1,2,1,1,1,1,3,0,0,1,2,1,1,0,1,1,1,1,0,2,1,28,26,26,26,28,28,28,28,28,28,28,28,28,26,26,24,26,26,28,26,26,28,26,26,26,26,24,26,24,24
880014,2165,3.335457900689,6260,5,2,1.166666666667,3,23,23.800000000000,31,2,1,0,1,2,1,2,2,2,2,0,3,1,1,1,1,0,2,1,0,1,2,1,1,2,2,0,0,0,1,26,28,28,28,24,24,22,22,20,22,20,22,22,22,22,22,24,26,26,24,24,24,18,20,24,26,26,26,26,26
880015,37165,4.570134137139,102700,5,2,1.233333333333,3,23,25.333333333333,31,2,0,1,2,0,3,1,2,1,0,0,0,3,1,1,3,1,1,0,0,2,1,1,1,1,2,2,1,2,2,26,24,26,22,24,24,26,26,28,28,28,28,28,24,24,24,26,26,28,28,24,24,24,24,22,24,26,26,24,24
880016,40,1.602059991328,103,5,0,0.433333333333,2,10,24.600000000000,27,0,0,0,0,2,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,2,0,0,0,0,2,26,26,26,26,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,26,26,26,26,26,24
880017,3475,3.540954808926,7570,5,1,1.200000000000,3,27,24.400000000000,31,1,0,2,1,1,1,1,1,0,1,1,1,3,1,1,1,1,2,1,1,3,0,1,1,2,1,1,2,1,2,26,28,28,26,26,26,26,26,26,26,24,24,22,24,22,24,26,26,24,26,26,26,24,26,24,20,20,20,20,20
880018,2665,3.425697213363,6760,5,2,0.800000000000,3,18,26.133333333333,31,2,0,1,1,0,3,0,1,0,0,1,0,2,1,1,1,0,1,2,0,1,0,1,2,1,1,0,1,0,0,28,24,24,22,22,28,26,28,28,28,26,26,24,28,28,26,26,26,26,26,26,26,26,26,26,26,28,28,26,26
880019,10405,4.017242084548,26788,5,0,1.166666666667,3,21,25.800000000000,30,0,0,2,1,3,1,2,1,0,0,1,2,1,1,3,0,0,2,2,2,0,1,1,1,1,0,3,1,3,0,28,28,24,26,22,22,24,28,28,28,28,26,22,22,26,24,24,28,28,26,26,28,28,28,26,26,24,24,26,26
880020,125,2.096910013008,252,5,0,0.566666666667,2,14,23.733333333333,29,0,1,1,1,1,1,0,1,0,0,1,0,2,0,0,1,0,2,0,0,0,0,2,1,1,0,0,0,0,1,22,20,22,22,24,24,24,24,24,24,22,22,24,24,24,24,22,22,24,24,24,24,24,24,24,26,26,26,26,26
880021,10110,4.004751155591,26493,5,3,1.100000000000,3,21,25.133333333333,31,3,0,2,0,1,2,0,2,0,1,2,0,1,0,1,3,1,2,1,0,1,2,1,2,0,1,2,1,1,0,24,26,26,28,26,26,26,26,24,24,24,24,26,26,26,22,24,26,26,28,28,26,24,26,24,22,22,24,24,26
880022,4985,3.697665162648,13176,5,2,1.100000000000,3,24,24.733333333333,31,2,0,1,1,1,1,0,1,3,2,1,0,1,2,1,1,2,0,2,1,0,0,1,1,1,1,1,1,3,1,24,20,18,22,24,24,24,24,22,26,26,26,26,28,24,24,24,24,28,28,28,28,28,26,26,26,24,24,22,24
880023,27505,4.439411649286,60272,5,4,1.233333333333,4,20,25.733333333333,30,4,0,0,0,1,4,1,0,1,1,2,1,0,2,1,3,0,0,1,2,3,0,1,0,2,3,0,1,1,2,24,26,26,26,26,24,24,26,28,28,28,26,26,22,26,26,28,28,28,28,28,24,24,24,24,24,26,26,24,24
880024,95955,4.982067609773,227026,5,2,1.333333333333,4,23,24.933333333333,31,2,2,0,0,0,2,4,2,2,1,0,2,2,2,0,1,1,1,3,2,0,1,1,2,1,1,0,1,2,2,24,24,28,28,28,24,26,26,20,24,24,24,24,28,26,26,26,22,22,20,22,24,26,26,26,28,28,26,24,24
880025,2445,3.388278863460,6540,5,2,0.900000000000,3,19,26.200000000000,31,2,0,2,0,0,1,1,2,0,1,1,1,1,0,1,1,3,0,0,1,1,2,0,0,2,0,2,1,0,1,24,24,26,28,28,26,26,24,24,24,26,26,28,26,24,26,24,26,26,28,28,28,28,28,26,24,26,28,28,28
880026,16110,4.207095540419,32493,5,0,1.233333333333,3,22,25.266666666667,31,0,1,3,0,2,2,1,0,0,3,1,1,0,0,3,2,1,2,2,0,2,2,1,2,0,1,2,1,1,1,26,28,26,24,22,24,28,26,26,26,24,28,28,28,26,24,22,26,24,26,24,24,22,24,24,24,26,24,26,28
880027,145,2.161368002235,400,5,1,0.466666666667,2,13,25.533333333333,29,1,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,1,1,2,0,26,26,26,26,26,26,26,26,26,26,24,24,26,28,28,28,28,28,26,24,24,24,24,24,24,24,24,24,24,26
880028,23480,4.370698092576,56247,5,2,1.233333333333,4,24,25.466666666667,31,2,1,1,3,2,0,0,1,3,1,1,1,2,1,0,1,1,4,1,0,1,1,3,0,1,0,1,2,1,1,22,24,22,26,28,26,26,28,28,26,26,26,24,24,26,26,24,20,24,24,24,28,26,24,26,26,28,28,26,28
880029,20,1.301029995664,51,5,2,0.900000000000,3,20,25.066666666667,20,2,1,0,0,0,1,1,1,2,1,2,0,0,1,1,3,0,1,1,0,2,1,0,0,0,1,1,1,2,1,24,26,28,28,28,26,24,22,20,24,28,28,28,28,26,26,22,22,22,22,24,26,28,28,28,26,24,22,20,24
880030,3230,3.509202522331,7325,5,3,1.000000000000,3,21,26.600000000000,31,3,0,1,1,1,2,0,1,1,0,3,0,0,1,1,3,0,1,1,1,2,1,1,1,1,0,1,0,2,0,26,26,26,28,28,28,26,28,26,26,28,28,28,28,28,26,26,24,26,26,26,26,24,26,26,28,28,26,26,26
880031,20090,4.302979936748,52857,5,1,1.133333333333,3,24,24.266666666667,31,1,2,0,2,3,1,0,1,1,2,2,2,1,1,1,2,1,1,0,0,2,1,1,1,0,2,0,1,1,1,26,24,20,22,22,22,22,24,24,24,26,26,24,22,22,24,24,28,28,28,26,24,22,22,24,26,24,26,26,26
880032,40,1.602059991328,103,5,1,0.833333333333,2,22,25.933333333333,29,1,0,0,0,1,1,1,1,1,1,1,1,0,1,2,1,0,0,1,1,2,1,0,1,1,1,1,0,1,2,26,26,26,26,26,24,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26
880033,52075,4.716629278620,117610,5,0,1.133333333333,3,20,27.200000000000,30,0,3,0,2,0,0,3,0,2,1,1,2,0,1,0,1,2,0,2,1,0,3,0,2,1,1,3,1,1,1,26,26,26,28,28,28,28,26,26,28,28,28,28,28,28,28,28,28,28,26,26,26,28,26,28,26,28,26,26,28
880034,35,1.544068044350,98,5,1,0.466666666667,1,14,20.133333333333,25,1,0,0,1,0,1,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,20,22,22,22,20,20,18,18,20,20,20,20,20,18,18,18,22,22,22,22,22,20,20,20,22,20,18,18,20,20
