size,trial,seed,particles,momentum_x,momentum_y,initial_density_equal,initial_hamming,swap_cell_a,swap_direction_a,swap_cell_b,swap_direction_b,base_period,perturbed_period,pair_period_lcm,same_exact_cycle,first_micro_growth,first_density_difference,first_half_saturation,max_hamming_2000,mean_hamming_1001_2000,mean_normalized_damage_1001_2000,max_density_l1_2000,mean_density_l1_1001_2000,exact_reconvergence_observed
5,0,2026121800,14,0,0,True,4,2,N,20,W,10,405,810,False,3,1,7,20,14.156,0.5055714285714286,18,10.558,False
5,1,2026121801,14,0,0,True,4,2,N,13,S,4500,20,4500,False,3,1,7,24,17.13,0.6117857142857143,22,12.596,False
5,2,2026121802,14,0,0,True,4,8,W,15,S,145,2070,60030,False,4,1,6,24,15.742,0.5622142857142858,20,11.476,False
5,3,2026121803,14,0,0,True,4,2,S,11,W,1035,8685,199755,False,5,1,16,28,18.468,0.6595714285714286,22,12.98,False
5,4,2026121804,14,0,0,True,4,15,S,16,N,35,65,455,False,2,1,9,18,12.42,0.44357142857142856,16,8.98,False
5,5,2026121805,14,0,0,True,4,14,S,20,W,15,10,30,False,4,1,,12,8.342,0.29792857142857143,12,6.866,False
5,6,2026121806,14,0,0,True,4,20,W,24,E,2215,585,259155,False,3,1,6,26,18.564,0.663,24,13.244,False
5,7,2026121807,14,0,0,True,4,0,W,13,E,18540,140,129780,False,2,1,6,28,19.134,0.6833571428571429,24,13.366,False
5,8,2026121808,14,0,0,True,4,6,E,18,W,7965,3885,2062935,False,2,1,24,26,17.994,0.6426428571428572,22,12.642,False
5,9,2026121809,14,0,0,True,4,7,W,15,S,241960,42680,258171320,False,4,1,22,28,21.884,0.7815714285714286,26,15.022,False
5,10,2026121810,14,0,0,True,4,6,N,16,S,,,,,5,1,16,24,17.716,0.6327142857142858,24,13.006,False
5,11,2026121811,14,0,0,True,4,6,W,7,E,,,,,2,1,8,24,18.492,0.6604285714285715,22,13.494,False
5,12,2026121812,14,0,0,True,4,0,E,3,S,,,,,3,1,8,28,18.798,0.6713571428571428,24,13.364,False
5,13,2026121813,14,0,0,True,4,4,N,24,W,,,,,2,1,19,26,18.318,0.6542142857142857,24,13.032,False
5,14,2026121814,14,0,0,True,4,19,N,21,S,,,,,4,1,20,18,11.854,0.4233571428571428,16,9.43,False
5,15,2026121815,14,0,0,True,4,22,N,23,S,,,,,3,1,,12,8.728,0.3117142857142857,12,6.91,False
5,16,2026121816,14,0,0,True,4,4,N,5,W,,,,,2,1,6,28,19.372,0.6918571428571428,22,13.17,False
5,17,2026121817,14,0,0,True,4,6,W,12,S,,,,,3,1,8,28,18.154,0.6483571428571429,22,12.644,False
5,18,2026121818,14,0,0,True,4,7,W,22,S,,,,,2,1,7,26,18.732,0.6689999999999999,24,13.27,False
5,19,2026121819,14,0,0,True,4,6,E,7,S,,,,,3,1,7,28,17.81,0.6360714285714285,22,12.58,False
5,20,2026121820,14,0,0,True,4,11,W,21,N,,,,,5,1,18,26,17.282,0.6172142857142857,22,12.502,False
5,21,2026121821,14,0,0,True,4,4,W,7,E,,,,,2,1,17,28,21.004,0.7501428571428572,24,14.832,False
5,22,2026121822,14,0,0,True,4,15,E,23,W,,,,,5,1,11,28,21.758,0.7770714285714285,26,14.856,False
