size,particles_per_cell,particles,trials,macro_split_count,particle_growth_count,median_first_particle_growth,rotor_split_count,median_first_rotor_split,half_particle_damage_count,particle_micro_reconvergence_count,tail_particle_damage,tail_rotor_damage,tail_macro_damage,collision_sites_per_cell,cycle_audits,closed_cycle_pairs,changed_period_count,same_orbit_count,largest_closed_period
4,0.5,8,75,75,44,2.0,43,2,38,0,0.3967966666666667,0.119945,0.2570133333333333,0.020611666666666667,5,5,2,0,4628
6,0.5,18,75,75,64,3.0,64,3.0,57,0,0.6104237037037037,0.3608437037037037,0.384437037037037,0.01624888888888889,0,0,0,0,
8,0.5,32,75,75,75,3,75,3,75,0,0.8754716666666666,0.504985,0.5203395833333333,0.016857291666666666,0,0,0,0,
10,0.5,50,75,75,75,3,75,3,75,0,0.9000944,0.4995042666666667,0.5299826666666667,0.016018666666666667,0,0,0,0,
4,1.0,16,75,75,70,2.0,69,2,58,0,0.5560733333333333,0.366865,0.5275816666666666,0.0505675,5,1,1,0,92
6,1.0,36,75,75,75,2,75,2,75,0,0.8160000000000001,0.5004185185185185,0.6768762962962963,0.04759444444444444,0,0,0,0,
8,1.0,64,75,75,75,2,75,2,75,0,0.8240575,0.49964458333333334,0.6815870833333333,0.04660145833333333,0,0,0,0,
10,1.0,100,75,75,75,2,75,2,75,0,0.8290776,0.5002616,0.6824818666666667,0.0463144,0,0,0,0,
4,1.5,24,75,75,74,2.0,73,2,70,0,0.6710322222222223,0.46681,0.693465,0.075835,5,1,1,0,8
6,1.5,54,75,75,75,2,75,2,75,0,0.73728,0.5001303703703703,0.7328711111111111,0.0753211111111111,0,0,0,0,
8,1.5,96,75,75,75,2,75,2,75,0,0.7449783333333333,0.49919166666666664,0.7346554166666667,0.07521604166666666,0,0,0,0,
10,1.5,150,75,75,75,2,75,2,75,0,0.7464938666666666,0.4990304,0.7346141333333334,0.07378666666666667,0,0,0,0,
