size,particles_per_cell,particles,trial,seed,initial_density_equal,initial_direction_counts_equal,initial_momentum_equal,initial_rotor_field_equal,initial_particle_hamming,first_macro_split,first_particle_growth,first_rotor_split,first_half_particle_damage,particle_micro_reconvergence_with_rotor_difference,max_particle_hamming,max_normalized_particle_damage,max_rotor_hamming,max_normalized_rotor_damage,max_macro_changed_cells,max_normalized_macro_damage,tail_mean_normalized_particle_damage,tail_mean_normalized_rotor_damage,tail_mean_normalized_macro_damage,mean_collision_sites_per_cell,base_cycle_status,base_period,perturbed_cycle_status,perturbed_period,same_exact_orbit,pair_period_lcm,exact_complete_reconvergence
4,0.5,8,0,2030571800,True,True,True,True,4,1,,,,,4,0.25,0,0.0,4,0.25,0.25,0.0,0.1875,0.0,closed,4,closed,4,False,4,False
4,0.5,8,1,2030571801,True,True,True,True,4,1,,,,,4,0.25,0,0.0,4,0.25,0.25,0.0,0.1875,0.0,closed,4,closed,4,False,4,False
4,0.5,8,2,2030571802,True,True,True,True,4,1,,,,,4,0.25,0,0.0,4,0.25,0.25,0.0,0.125,0.0,closed,4,closed,4,False,4,False
4,0.5,8,3,2030571803,True,True,True,True,4,1,1,1,4,,12,0.75,10,0.625,10,0.625,0.60125,0.291125,0.3925,0.03125,closed,32,closed,4628,False,37024,False
4,0.5,8,4,2030571804,True,True,True,True,4,1,2,2,2,,16,1.0,8,0.5,13,0.8125,0.92075,0.246625,0.528,0.111375,closed,812,closed,628,False,127484,False
4,0.5,8,5,2030571805,True,True,True,True,4,1,2,2,3,,10,0.625,6,0.375,8,0.5,0.50975,0.1605,0.267625,0.02925,not_searched,,not_searched,,,,False
4,0.5,8,6,2030571806,True,True,True,True,4,1,1,1,4,,10,0.625,6,0.375,7,0.4375,0.4605,0.161875,0.28625,0.028125,not_searched,,not_searched,,,,False
4,0.5,8,7,2030571807,True,True,True,True,4,1,3,,3,,8,0.5,0,0.0,8,0.5,0.375,0.0,0.23425,0.015625,not_searched,,not_searched,,,,False
4,0.5,8,8,2030571808,True,True,True,True,4,1,1,1,2,,14,0.875,15,0.9375,12,0.75,0.769,0.622125,0.46025,0.07325,not_searched,,not_searched,,,,False
4,0.5,8,9,2030571809,True,True,True,True,4,1,2,2,,,6,0.375,4,0.25,6,0.375,0.3515,0.1255,0.27725,0.03125,not_searched,,not_searched,,,,False
4,0.5,8,10,2030571810,True,True,True,True,4,1,,,,,4,0.25,0,0.0,4,0.25,0.25,0.0,0.125,0.0,not_searched,,not_searched,,,,False
4,0.5,8,11,2030571811,True,True,True,True,4,1,2,2,2,,8,0.5,6,0.375,8,0.5,0.45825,0.1575,0.30175,0.03125,not_searched,,not_searched,,,,False
4,0.5,8,12,2030571812,True,True,True,True,4,1,1,1,3,,10,0.625,3,0.1875,10,0.625,0.5085,0.1165,0.30375,0.0535,not_searched,,not_searched,,,,False
