pair_id,phase,state_a,state_b,velocity_bit_hamming,density_equal_at_aligned_phase,least_period,observer_density_distance,predictively_indistinguishable_forever,hidden_information_equal_prior_bits
1,0,810420000,240180000,8,True,3,0,True,1
1,1,480210000,120840000,8,True,3,0,True,1
1,2,008002410,002008140,8,True,3,0,True,1
2,0,108204000,402801000,8,True,3,0,True,1
2,1,804102000,201408000,8,True,3,0,True,1
2,2,080020104,020080401,8,True,3,0,True,1
3,0,081042000,024018000,8,True,3,0,True,1
3,1,048021000,012084000,8,True,3,0,True,1
3,2,800200041,200800014,8,True,3,0,True,1
4,0,041800200,014200800,8,True,3,0,True,1
4,1,000081042,000024018,8,True,3,0,True,1
4,2,000048021,000012084,8,True,3,0,True,1
5,0,800014200,200041800,8,True,3,0,True,1
5,1,084000012,021000048,8,True,3,0,True,1
5,2,018000024,042000081,8,True,3,0,True,1
6,0,104080020,401020080,8,True,3,0,True,1
6,1,000108204,000402801,8,True,3,0,True,1
6,2,000804102,000201408,8,True,3,0,True,1
7,0,080401020,020104080,8,True,3,0,True,1
7,1,408000201,102000804,8,True,3,0,True,1
7,2,801000402,204000108,8,True,3,0,True,1
8,0,420000810,180000240,8,True,3,0,True,1
8,1,210000480,840000120,8,True,3,0,True,1
8,2,002410008,008140002,8,True,3,0,True,1
9,0,000810420,000240180,8,True,3,0,True,1
9,1,000480210,000120840,8,True,3,0,True,1
9,2,410008002,140002008,8,True,3,0,True,1
